albanian_title,english_title
Ndihmes Kuzhinjer,Assistant Cook
Infermier,nurse
PUNETOR NE ADMINISTRATE,ADMINISTRATION WORKER
Asistent per Financa,Assistant for Finance
Pozita per 1 mesimdhenes te gjuhes angleze Oxford Studio ELT,Position for 1 Oxford Studio ELT English teacher
Axhustator (Saldues),Adjuster (Welder)
shites,seller
Asistente teknike,Technical assistant
Punetor i thjesht,Simple worker
Teknike,Tech
Menaxhere,manager
Punetore ne Administrate,Worker in Administration
Kalkulant,Calculator
Floktare,hairdressers
Inxhinieri dhe Ndertimtari,Engineering and Construction
Punetor rinor (1 pozite).,Youth worker (1 position).
Ndihmes Kuzhinier,Assistant Cook
Rrobaqepes,Tailor
Shites per Produkte Elektronike dhe Hidraulike,Seller of Electronic and Hydraulic Products
Shitese e luleve,Flower seller
Ndihmes ne administrate,Administrative assistant
Teknik Instalues,Installation Technician
Asistente Dentare,Dental Assistant
puntore per pastrimin e tepijave.,workplace for cleaning the walls.
Ndihmes/Suvatues,Helper/Plasterer
Shperndares i mallrave,Distributor of goods
Arkatare-Sektorist,Cashier-Sectorist
Puntore per furre,Oven rack
Punetor per Mirembajtje,Maintenance worker
Pergjegjes ne procesin e shperndarjes,Responsible in the distribution process
Praktikant,improver
Agjente e shitjes,Sales agent
Office Errands Runner,Office Errands Runner
Kontabilist Financier,Financial Accountant
Punetor ne prodhim,Production worker
Serviser per Aparate te Kafes,Servicer for Coffee Machines
Servise per Aparate te Kafes,Service for Coffee Machines
asistente administrative,administrative assistant
ASISTENTE E STOMATOLOGJISE,DENTAL ASSISTANT
TEKNIK I RRJETAVE DHE PROGRAMEVE SOFTWERIKE,NETWORK AND SOFTWARE TECHNICIAN
Shitese ne dyqan,Shop assistant
RECEPCIONISTE,reception-
Agjent i Shitjes per HoReCa,Sales Agent for HoReCa
Dizajner,Designer
Asistent Adiministrativ,Administrative Assistant
Teknik i farmacis,Pharmacy technician
Punetor,Worker
Pizamen,Pizamen
Asistent Mjeshtilri,Assistant Craftsman
Konkurs per punetor - pozita shites,Competition for worker - sales position
Kordinator e Projekteve,Project Coordinator
Asistente ne fizioterapi,Physiotherapy assistant
Ndihmes saldues,Welding assistant
Asistente administrative,Administrative assistant
Barista,The barista
Nermin Smailji B.I.,Nermin Smailji B.I.
Arif Uka B.I.,Arif Uka B.I.
Refik Etemi B.I.,Refik Etemi B.I.
Amet Ibro B.I.,Amet Ibro B.I.
Inxhinier/Arkitekt,Engineer/Architect
Per kamarjer,For the waiter
Kopshti Unik,The Unique Garden
Edukatore -,Educator -
Asistent ne Kontabilitet,Assistant in Accounting
Zhvillues Softueri,Software Developer
Burime Njerzore,Human Resources
ASISTENT,ASSISTANT
Agjente e Shitjes,Sales Agent
Asistente e Avokates,Attorney's Assistant
Punetore per market,Market worker
Kerkoj punetor banakier - shankist,I am looking for a bartender - bartender
Edituese e fotografise,Photo editor
Infermieri e pergjithshme,General nursing
Zyrtare-IT,Official-IT
Zyrtare Financiare,Financial Officer
Shkankist,triggerman
Keshilluese Psikosociale/ Psikologe,Psychosocial Counselor/ Psychologist
Mbikeqyrese ne punishte,Supervisor in the workshop
Asistent Ligjore,Legal Assistant
Punetore ne peodhim,Worker in peodhim
Zhvillues i uebfaqeve dhe aplikacioneve,Website and application developer
SEKTORISTE,SECTORIST
Konkurs per gazetare te rinj,Competition for young journalists
administrat,administra
Profesor i gjuhes gjermane,Professor of German language
Assistent ne Financa,Assistant in Finance
Buk pjekes,Baking bread
Teknike e farmacise,Pharmacy technician
Asistente e rrjeteve sociale,Social media assistant
Asistent per zyre,Office assistant
Nazif Durmiši B.I.,Nazif Durmiši B.I.
Ndihmes i mjeshtrit,Master's assistant
Zhvillues/Programer Front End,Front End Developer/Programmer
Foto Editor,Photo Editor
Puntor Ne Prodhim,Worker In Production
teknike kontabiliste,accounting technician
Asistent ne prodhim,Production assistant
Puntor ne kopani,Tailor in Kopani
Puntor i pllakave,Tile worker
Dizajner Enterieri,Interior Designer
Asistent Dentare,Dental Assistant
Kerkojme punetor ne sektorin,We are looking for a worker in the sector
Puntor Administrate,Administrative Worker
Fizioterpeut,Physiotherapist
Mentor,Mentor
Keshilluese Psikosociale/ Praktikante,Psychosocial Counselor/ Intern
Pizzamen/Delivery,Pizzaman/Delivery
Drejtor Menaxhues,Managing Director
Ndihmesit/es:,Helpers:
FATURISTE,INVOICERS
Arkatarit/es,Cashier/es
Menaxhues i rrjete sociale,Manager of social networks
Recepsioniste,Receptionist
Puntore ne sallon ondulimi frizere,Hairdresser in the curling salon
SHITESE E MBUSHJEVE ELEKTRONIKE,SELLER OF ELECTRONIC SUPPLIES
Recepcion,Reception
rrobaqepese,tailoring
Ndihmese e frizerkes,Hairdresser's assistant
Inxhinier Ndertimi - Bach. i Diplomuar - Ne studime Master,Civil Engineer - Bach. Graduate - In Master's studies
• Bashkepunetor profesional,• Professional associate
Assistente Administrative,Administrative Assistant
Teknike e Fizioterapise,Physiotherapy Technique
Mirmbajteseje,Keep it up
KOSHI GROUP LLC,KOSHI GROUP LLC
Praktikante ne Departamentin e Shitjes,Intern in the Sales Department
Zyrtare ligjore,Legal officer
Pune Praktike,Practical Work
MJESHTER PR VENDOSJEN E PLLAKAVE.,TILING MASTER.
Make Up Artist,Make Up Artist
Agjent turistike,Travel agent
shitese,sales clerk
Inspektues,inspection
Moter Edukatore,Mother Educator
Laborant,laboratory technician
Asistente Ekzekutive,Executive Assistant
Keshilltare e udhetimeve,Travel advisor
Punetor teknik,Technical worker
Ndihmese rrobaqepese,Tailor's assistant
Praktikant prane Zyres per Zhvillim dhe Karriere - si dhe Qendres se Studenteve (QESH),Intern near the Development and Career Office - as well as the Student Center (QESH)
Ndihmese per grim dhe floke,Make-up and hair accessories
Punonjese e Administrates,Administration employee
Administratore e zyres,Office administrator
Asistent ne shitje e produkteve,Assistant in product sales
Logjistike,logistic
Infermjere,Nurse
Video Editor,Video Editor
Zyrtare ne procesime dhe financa,Processing and finance officer
Administrator i Kursit,Course Administrator
Shites-e,Sell ​​it
shitse ne dyqanin e tapetave,shitse in the wallpaper shop
Asistente ne Kontabilitet,Assistant in Accounting
Puntor ne procesun e prodhimit,Worker in the production process
kamarjer,waiter
ADMINSTRATE,ADMINISTRATOR
MMA ACCOUNTING SH.P.K.,MMA ACCOUNTING SH.P.K.
Ndihmese Kuzhinjere,Kitchen Assistant
Farmaciste,Pharmacist
Kshilltar Ligjor / Administrator,Legal Advisor / Administrator
Asitetnt,Asset
Lona fashion,Lona fashion
Inxhinier i ndertimtarise,Construction engineer
Kuzhiniere,cooky
Asistent ne elektrike,Electrical assistant
Agjente te shitjes,Sales agent
Teknik i farmacise,Pharmacy technician
Monter i kornizve te drurit,Assembler of wooden frames
Punetore ne administrate,Worker in administration
Montim i reklamave,Editing of advertisements
Shitese Veturash,Car dealership
Nijazija Kalajdžini B.I.,Nijazija Kalajdžini B.I.
Kamerman,cameraman
Pergjegjes i Furnizimit,Supply Manager
Distributor,Distributor
Mesimdhenese e Gjuhes Angleze,Middle English Language
Mesimdhenese Zevendesuese,Substitute Middle Eastern
Fotograf,Photographer
Faturiste,Accountant
Gjeodet,Geodesist
Kontabilist Teknik,Technical Accountant
Punetore administrativ,Administrative worker
Eldar Aljilji B.I.,Eldar Aljilji B.I.
Isak Ismetovic B.I.,Isak Ismetovic B.I.
Administratore ne Ordinance,Administrator in Ordinance
Teknik veterinare,Veterinary technician
Asistene ne administrat,Assistant in administration
Ndihmes Menaxhere,Assistant Manager
Shitese-Arkatare,Saleswoman-Cashier
Konkurs pune,Job competition
Kontabilist-e,Accountant
Shitse,Sell
Dizajner Interieri,Interior Designer
Fasadues,Facade
Shitese per teren,Land for sale
Sektoriste,Sectoral
Teknike e Stomatologjis,Dentistry Technique
NDIHMES NE PRODHIM DRITAREVE,HELP IN MANUFACTURING WINDOWS
Dizajnere Grafike,Graphic Designer
Zyrtare e Administrates,Administration Officer
Kontabiliste,ACCOUNTING
Asistente adimistrative,Administrative assistant
Mesimdhenese e gjuhes turke,Turkish language medium
Ndihmes inxhinier,Assistant engineer
Ndihmes kuzhiniere,Assistant cook
Kamariere,Waitress
Asistent administrative / Shitje,Administrative Assistant / Sales
Doktor i stomatologjise dhe asistente dentare,Doctor of dentistry and dental assistant
Teknik per Instalimin e Kabllove Optike,Optical Cable Installation Technician
Menagjer i blerjes,Purchasing Manager
Menagjer i shitjes,Sales manager
Recepsionist,Receptionist
Punetor per pastrim kimik,Dry cleaning worker
Estetiste,Beautician
S.U.R. CAFFE NEDO,S.U.R. CAFE NEDO
Trajner Fitnesi,Fitness trainer
Sektoriste per market,Market sector
Faturist-e,Accountant
Menaxher i Rrjeteve Sociale,Social Network Manager
Punetor ne prodhim dhe paketim te shisheve te plastikes,Worker in production and packaging of plastic bottles
Sektorist,Sectoralist
Teknike e kontabilitetit,Accounting technique
Praktikant per Stilim te Flokeve,Intern for Hair Styling
Asistet,Comp
Estetiste e thonjeve,Nail esthetician
frizere per femra,hairdresser for women
SHITESE,sales clerk
Agenti e shitjes,Sales agent
PUNETOR,WORKER
Shitese online,Online seller
TRANSPORTUS I MALLIT,TRANSPORT OF GOODS
Marketues,any marketing
Asistent ne Teknollgji Informative,Assistant in Information Technology
Bashkepunetor ne Prodhim,Associate in Production
Dževair Karadži B.I.,Dževair Karadži B.I.
Arkitekt,Architect
Arkatare/shitese,Cashier/salesperson
Teknik Ekzekutiv,Executive Technician
Ndihmes asistent,Assistant assistant
Konduket/Shofer autobusi,Driver/Bus Driver
Banaker,Bartender
Dizajner Grafik,Graphic Designer
Ndihmes Shankist,Assistant Shankist
Shofer/Delivery,Driver/Delivery
MOBILERIA ENESI HOME L.L.C.,MOBILERIA ENESI HOME L.L.C.
Shitje ne Market,Market sale
Praktikant per produksion per Teater,Theater production intern
RECEPSIONIST,RECEPTIONIST
Recepcionist,Receptionist
Asistent kontabiliteti,Accounting assistant
Teknik ne teknologji informative,Technician in information technology
Kontabilitet,Accounting
furrtar,baker
Editues,Editorial
Instruktore,Instructor
Freeshop Leoni Arkatare,Freeshop Leoni Arkatare
Menagjere e rrjeteve Sociale,Manager of Social networks
Monter i klimave,Climate fitter
Puntor ndihmes ne prodhim,Assistant worker in production
SERVISER PER NDERRIM TE PJESEVE TE PAJISJEVE,SERVICING SERVICE FOR REPLACEMENT OF EQUIPMENT PARTS
Zyrtare administrative,Administrative officer
Asistent ekzekutive,Executive assistant
Admiistrator,Administrator
Faturiste/kalkulante,Biller/calculator
Dizajnere te Modes,Fashion designer
Ndihmese shitese,Sales assistant
kamarier,Waiter
Ndimes punetor,Part time worker
AGJENT I SHITJES,SALES AGENT
Mirembajtese ne Pizzeri,Maintenance at the Pizzeria
Asistente ne financa,Financial assistant
Asistent Kontabiliteti,Accounting Assistant
Mjeshter per rolete,Roll master
Banakjere,barmaid
Miremembajtese,Good luck
Ndihmese ne administrate,Assistant in administration
Kamarier/ Banakier,Waiter/ Bartender
Kasim J. Morina,Kasim J. Morina
Menaxhere e zyres,Office manager
Teknike e Farmacise,Pharmacy Technician
Deoni QRAMIKA - Oferte Pune: Ndihmes Mjeshter dhe Mjeshter per Pllaka dhe Qeramike,Deoni QRAMIKA - Job Offer: Assistant Master and Master for Tiles and Ceramics
Mirembajtje teknike,Technical maintenance
Asistent Administrative,Administrative Assistant
Gaming Center,Gaming Center
Zyrtar financiar,Financial officer
Menagjim i Rrjeteve Sociale / Shitese,Management of Social Networks / Sales
Operations Assistent,Operations Assistant
Arkitekt - Praktikant,Architect - Intern
Recepcionist ne fitnes,Receptionist in fitness
Luljete Iseni B.I.,Lulete Iseni B.I.
Shofer ambulantiv,Ambulance driver
Shites/Shitese,Seller/Saleswoman
ndihmese ne sallon ondulimi,assistant in the curling salon
Asistente ne sallon ondulimi,Assistant in the curling salon
Agjent i Shitjes se Patundshmerive,Real Estate Sales Agent
Arkatare / Agjente e Shitjes ne Zyre,Cashier / Sales Agent in the Office
asisten kontabiliteti,accounting assistant
Ndihmes per Letra pune,Help for working papers
Ndihmes per Regjistrime,Help for Registrations
Mirembajtese e makinerive,Machine maintenance
Puntor Adminstrativ,Administrative Worker
Praktikane Dizajn & Fotografi,Design & Photography Internship
Rešid Bahšani B.I.,Rešid Bahšani B.I.
RROBAQEPSE,WHY THE GLOVES
Puntor i Qeramikes,Pottery worker
administrate,ADMINISTRATION
infermiere,nurse
Agron N. Brahimi B.I.,Agron N. Brahimi B.I.
Administrator apo Koordinator i Energjise Diellore,Solar Energy Administrator or Coordinator
Fedžat Durmiši B.I.,Fedžat Durmiši B.I.
Kamarier shankist-e,Shankist waiter
Konkurs per Agjente te Shitjes,Competition for Sales Agents
Per Agjent ose Agjente te Shitjes,For Agent or Sales Agent
Menaxher per Rrjete Sociale,Social Network Manager
Bletari,beekeeper
Asistent Administrativ/Asistente Administrative,Administrative Assistant/Administrative Assistant
Shites ne dyqan,Sold in the store
Shites ne market,Sold in the market
PastrimiBesi,Cleaning Besi
Fejzi Jashari B.I.,Fejzi Jashari B.I.
Ndihmes i shitjes se zhavorit,Gravel sales assistant
Ndihmes Logopedi,Speech therapist assistant
Mediaplaner,Mediaplanner
Menaxhimi i mediave sociale me web dizajnit,Social media management with web design
Gemix shpk,Gemix Ltd
Menaxher i shitjes ne dyqan,Sales manager in the store
Nepunes per Kontabilitet,Accounting Clerk
Agjente e shitjes se patundshmerise,Real estate sales agent
Pastruse,Cleaner
Puntore ne prodhim,Worker in production
Agjent shitje,Sales agent
Kerkojme Puntore,We are looking for workers
Asistent ne studio te arkitektures,Assistant in architecture studio
Ndihmes,aid
Recepsionist Klinike,Clinical Receptionist
Zyrtare Administrative-kalkulante,Administrative officer-calculator
Esma Demiri B.I.,Esma Demiri B.I.
Adnan M. Demiri B.I.,Adnan M. Demiri B.I.
Sektoriste/Kasiere,Clerk/Cashier
Moler,painter
Punetore per thonje,Worker for nails
Shites Ambulantiv,Ambulatory salesman
Arkatare/sektoriste,Cashier/sectorist
Instalime elektrike,Electrical installations
Hoffman Store Shpk,Hoffman Store Ltd
Perpunues i ngjyres,Color processor
Zyrtar i Logjistikes,Logistics Officer
Montazhere,editor
Agjent i Shitjes Ambulantiv,Ambulatory Sales Agent
LIKA H,LIKA H
Punetor ne shperndarjen e tepihave,Worker in the distribution of carpets
Udheheqes i i linjave nderkombtare te autobusit,Leader of international bus lines
??????? ? ??????? / ?????? ?????,??????? ? ??????? / ?????? ?????
Asistent i shitjes,Sales assistant
Saldues,welders
Dizajnim te produkteve,Product design
ADMINISTRATE,ADMINISTRATION
Kerkojm puntor,We are looking for a worker
Mirembajtes teknik,Technical maintenance
studio bella,studio bella
Asistent/reporter ne portal,Assistant/reporter in the portal
Korrier,Courier
Trener per klub basketit,Coach for basketball club
Mega Mall SHPK,Mega Mall LLC
Nenpunes per sherbime me klient,Customer service clerk
Puntor brenda kompanise,Worker within the company
Puntor keramik,Ceramic worker
Qendistar,Embroiderer
Inxhinier i Elektros,Electrical Engineer
Punetor terreni,Field worker
Punetor i Linjes se Prodhimt,Production Line Worker
Pergjegjes i zyres,In charge of the office
Mjeshter fasader,Facade master
Manipulues i makinave,Machine operator
Agjent telefonik ne Mitrovic,Telephone agent in Mitrovic
Mirembajtes i Objektit,Facility Maintenance
Agjende e Terenit,Terrain agenda
Puntore ne Ndertimtari,Worker in Construction
Administrator i Zyres – Autoshkolla Dona,Office Administrator - Dona Driving School
Nepunes per prodhim,Production worker
ADMINISTRAT,administra
Praktikant per teknik laboratori,Trainee for laboratory technician
Punetor-e,Worker
Ndihmes teknik i DDD-se,DDD technical assistant
Praktikant ne Administrate,Intern in Administration
Bariste,Barista
Barist,bartender
Sic Parvis Magna Ventures L.L.C.,Sic Parvis Magna Ventures L.L.C.
Ndihmes Kontabilist dhe Ndihmse - Shitese,Accountant Assistant and Sales Assistant
Kamarier-shankist,Waiter-shankist
Sektoriste-Arkatare,Sectorist-Treasurer
Punetor per Asistent Stomatologji,Dental assistant worker
Ndihmestrajner te kategorite e reja U9 U11,Assistant coach of the new categories U9 U11
Mesuse e Biologjise,Biology teacher
Pastrues,purifier
Asistent Puntore,Work Assistant
Puntor ne auto larje,Car wash worker
Mjeshter,Master
Prodhim,output
Shites-e/Arkatar-e,Salesperson/Cashier
Shitese ne Optika Moda,Salesperson at Optica Moda
Punetore ne market,Market worker
Komunikim,communication
Infermiere/Mami/Teknik Laboratori,Nurse/Midwife/Lab Technician
Qendrim Selmani B.I.,Location Selmani B.I.
Asistent Zyreje,Office Assistant
Puntor ne prodhim,Worker in production
Zyrtar ligjore,Legal officer
Punonjes administrate,Administrative employee
Asistent-e Shitjes,Sales Assistant
Menaxhere - praktikante,Manager - intern
Hartues te projekt propozimeve,Designer of project proposals
Prkatike per Make UP,Practical for Make UP
Dizajner e Enterierit,Interior designer
Konkurs Pune,Job competition
Shites per market,Selling for market
Asistent Administrativ ne Klinike,Administrative Assistant in the Clinic
Asistent Teknik per LED EKRAN,Technical Assistant for LED SCREEN
nenpunese kontabiliteti,accounting clerk
Adminstrator,Administrator
Dizajn,design
Asisent ose Asistente,Assistant or Assistant
Ndihmes per hidroizolim,Help for waterproofing
Praktikant Arkitekture,Architectural Intern
Udruženje za njegovanje kulture i tradicije PORODIN,Udruženje za njegovanje culture and tradition PORODIN
Punetoret ndihmes,Auxiliary workers
Bujqesi,agriculture
Social media,Social media
Shites ne teren,For sale in the field
Ekonomiste,Economist
Agjent Tregtar,Commercial Agent
Asistent per Vizatime Teknike ne AutoCAD,Assistant for Technical Drawings in AutoCAD
mirembajtjeje,maintenance
Punetor ne Prodhim,Worker in Production
Inxhinier i Ndertimtarise – nje (1) pozite,Construction Engineer – one (1) position
Administrator Teknik te arkitekures,Technical administrator of architecture
Shites ne Lokal,For sale locally
Punetor Sektori,Sector Worker
Asistente e Stomatologjise,Dentistry Assistant
Asistent-Gjeodet,Assistant-Surveyor
Shites-Arkatar,Sales-Cashier
Praktikante/Fillestaret e Arkitektures,Architecture Trainees/Beginners
Inxhinier i Ndertimtarise,Civil Engineer
Shites Ne Lokal,For sale on premises
Floktar,Hairdresser
Puntor ne mobileri,Worker in furniture
Nail Artist,Nail Artist
Halil A. Ademi B.I.,Halil A. Ademi B.I.
Mekanik dhe riparues i automjeteve,Auto mechanic and repairer
Montues per Keramika,Assembler for Ceramics
ASISTENT ADMINISTRATIVE,ADMINISTRATIVE ASSISTANT
Menaxhimi ne rrjete sociale,Management in social networks
Zdrukthtar,Carpenter
Menaxhimin e rrjeteve Sociale,Management of Social networks
BERBER,shaver
Asistente administrative (Part time),Administrative assistant (Part time)
Projektim,designing
Asistenet per femijet me nevoja,Assistants for children in need
Punetore ne prodhim,Production worker
Video Creator,Video Creator
Stiliste e Flokeve,Hair Stylist
Programer,Programmers
Parukeri,hairdressing
Shitje online - remote,Online sales - remote
Asistente Adminstrative Ne Rixheve,Administrative Assistant in Rijheve
Shitje te produkteve online - REMOTE,Sale of online products - REMOTE
Aplikus i sherbimeve te epoxit,Application of epoxy services
Publisher,Publisher
Menager,Manager
Kamarier/Shankist,Waiter/Bartender
INFERMIERE,NURSE
Teknike e Farmacis,Pharmacy Technician
Agjente e Sherbimeve Finaciare,Financial Services Agent
Punetore (punime me kanuf - ngjyrosje),Workshop (canvas works - dyeing)
Praktikant ne Financa,Intern in Finance
Agjente e Sherbimeve Financiare,Financial Services Agent
RESTAURANT LEKA NSHPI SH.P.K.,RESTAURANT LEKA NSHPI SH.P.K.
Punetor ne instalim elektrik,Electrical installation worker
AGJENTE E SHITJES SE ARANZHMANEVE DHE BILETAVE TURISTIKE,TOURIST ARRANGEMENTS AND TICKETS SALES AGENTS
Edukatore e femijeve,Educator of children
Ndihmese Edukatore e femijeve,Children's Educational Assistant
AGJENTE E SHITJES SE ARANZHMANEVE DHE AVIOBILETAVE,ARRANGEMENTS AND AIRLINE TICKETS SALES AGENTS
Doktor i Mjekesise,Doctor of Medicine
Shites ne lokal,Sold locally
Punetore administrative,Administrative worker
Guregdhendes,Gurgdhende
Psikologe e kopshtit,Kindergarten psychologist
Pastiqeri,Pastry shop
Asistente fotografie,Photo assistant
Kerkese per Punesim ne Fabriken PlusMetal,Request for employment at PlusMetal Factory
Edukatore per kopsht,Kindergarten teacher
Teknike e fizios,Physio technique
Laborante,Technician
Edukatore per 3-5vjec,Educator for 3-5 years
NDIMES MJESHTER,THANK YOU MASTER
Assistents ne Administrat,Assistants in Administration
asistente ne sallon,salon assistant
Mirembajtes i higjienes,Maintains hygiene
PUNETORE NE PRODHIM DHE SHITJE,WORKER IN PRODUCTION AND SALES
Punetor per prodhim te ele.te betonit,Worker for the production of concrete
Punetor Transportues,Transport Worker
Asistet ne Kontabilitet,Assists in Accounting
Hulumtues,RESEARCHERS
Puntor per instalime te ngrohjes qendrore - Ventilim dhe Klimatizim,Contractor for central heating installations - Ventilation and Air Conditioning
Ngjyrosje e mobiljeve,Furniture coloring
Arkatare/Sektoriste,Cashier/Sectorist
Murator,mason
Praktikant ne Departamentin e Burimeve Njerezore dhe Trajnimeve,Intern in the Department of Human Resources and Training
Puntor ne vendpunishte,Worker in the workplace
Dizajner Grafik & IT,Graphic & IT Designer
Receptionist,Receptionist
Lokopede,Locopedia
Ndihmes Trajner,Assistant Coach
Punetor ne ferme,Farm worker
Kerkojme punetor,We are looking for a worker
PAKETUES,PACKERS
Monter i mobiljeve,Furniture fitter
Hotileri,The hotelier
Shitese/Arkatare,Saleswoman/Cashier
Agjent i Shitjes ne Piken e Shitjes ne Ferizaj,Sales Agent at the Sales Point in Ferizaj
Agjent i Shitjes ne Terren - (D2D),Field Sales Agent - (D2D)
Teknik i TV Transmetimeve Live/ RF Teknik,Live Broadcast TV Technician/ RF Technician
Shitese ne Mama Mantia - Fushe Kosove,Saleswoman in Mama Mantia - Fushe Kosove
PUNETORE PROFESIONALE,PROFESSIONAL WORKERS
FANTECH SH.P.K.,FANTECH SH.P.K.
Delivery,Delivery
